timestamp,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
1733383210.5576591,4142.1229076106,4716.474245295003,2196.0074994687475,4230.784402301015,2547.2354622118505,567.2078300879225,534.1735130401893,397.54279674670386,804.4376211086645,330.242712810198,2853.3455165011405,1827.7602232018921,2410.3038091181056,4578.829585860155,1968.2689490012508,3739.45105479213,1448.3657498359735,1127.2958454541044,3550.9024792816317,1472.6051594245034
1733383211.3330536,1811.9693175061268,1407.1342293990172,938.6175648963381,2996.3600292091774,1347.2921336554928,319.1615502390474,758.0260069084095,586.1302496881648,1141.4406288838725,614.8208556641616,386.57798407368375,1758.5989084323096,1772.731027241061,4217.541995127278,2239.6546457046666,1693.3016716589777,1859.4251773273427,1844.5570836988209,2371.7056468800024,1499.108587010192
1733383212.109067,1518.6421983005803,1288.8810109026122,1051.05195062886,3253.933471782583,1773.9910838224268,405.4423330698453,659.9389453525766,565.985815658061,1560.6976231590793,449.0880969851748,733.2827576983175,1964.5521616849446,2390.264838348046,3970.0839527983608,2713.1410205105053,638.8802933589931,1709.2247349137187,1153.120021290977,2741.0635553408024,1348.0505872955894
1733383212.8803225,763.2180730379232,770.901310028664,553.452686462336,2300.339501912378,777.8501921966144,241.27803570495345,437.632289207408,484.539259536524,1270.8680436153222,515.784546739269,1089.1091382560141,1245.8878518710744,2106.865365817403,4595.7635869560045,2384.2519884940657,620.1331876782994,1356.937776274306,1036.5130752691339,2689.938786171403,1066.1161460428248
