timestamp,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
1733383213.667983,2165.4518857085573,1027.3139460838759,897.1096706477895,3178.359327520631,1539.1440570194868,157.37746214326495,483.3641426876959,377.28078700203025,843.3006266037477,347.80431861298894,2260.96488735586,3431.9011853197176,2281.2508261309295,3369.9752290156575,2324.918685654017,5051.18380046444,2197.321622878641,1429.736002729417,3938.719342447351,1922.9083301083424
1733383214.438314,2584.443579338162,1890.3495520476488,1550.15432086028,3626.5626276100256,1443.5458174349844,98.22379523230889,393.81789949861053,578.4863370094806,942.59687561337,318.11968851509005,2956.0549609674617,2528.668389195072,2173.5533245075067,8507.57412250855,2346.568898316623,1537.9626216862546,2417.334478356083,1496.9174554870065,2842.5847060160468,1200.8058459581139
1733383215.2106905,3956.421764890082,6128.963271425917,2479.434286308078,5220.764848575832,3357.6232030123388,309.5064524137398,270.84676914128255,397.95124221846066,819.6163347401374,336.773268062652,2643.7509070988485,3170.8862894135655,2652.4207762915285,5496.383693401317,2937.4261347335396,493.78053737337746,1073.2221371699552,778.3040255674726,2955.4529659715404,991.5664081009168
1733383215.98693,981.6477085567553,1405.4431583818098,779.3320933421098,3049.88156070285,1092.295776228556,430.1095527986944,747.3610786142938,310.61031938516237,967.348976280881,335.9133042113599,3954.2486098847457,3839.099203654434,2287.4888362976117,6652.068695665137,2161.9018861964264,4245.172481423299,2252.9827596559926,785.4336199576894,2826.0473761865696,834.5396199519163
