timestamp,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
1733383200.2956712,2561.3883914124804,1427.787588755605,1008.4736213960969,3663.0480324174196,941.2969417433479,361.12421434834187,485.5097684506967,361.53038993792313,886.6832189642337,319.7080901702122,1633.4585884214398,2002.21665713424,1692.0975389488617,5022.12438082654,1990.8725804727267,1748.495375321456,1650.5412662227295,1137.1013954516493,2643.3502480279903,1054.8098851860136
1733383200.8281984,1329.0305340435461,1070.0020116826197,1078.552436598035,2732.1198242343366,1077.776068303192,201.9513852612876,379.23873613922706,444.05894706570666,815.0877948863944,541.4830531725281,2121.803270835481,2036.610373056165,1597.2165446441543,4293.110520912737,2450.5576400782306,1502.0948785928592,895.5772184813312,892.5493527267481,2329.2079372814737,1038.5197953235925
1733383201.3551788,1308.9826392441448,1224.027652407298,853.0393640849777,3025.8921161983826,1139.9544676892774,232.67134761846472,398.4304210507124,309.65010978114987,733.7370121520418,336.9765813130714,9164.6003590956,7133.545882816306,2632.1271743177094,6325.2120310598675,4198.417314904406,1156.1142004656824,1357.742979821266,865.7888008863749,3058.089984505038,1115.9904316507802
1733383201.8838654,1824.772788912491,1425.6143478308786,671.7903390327522,3201.7950979257002,890.1655955711694,383.53431322544316,285.44487718393464,241.6557356869522,836.6905883486226,285.3705720630439,2138.2753517280958,2642.2091096402028,1534.6933103803315,5287.705298483702,2254.3470679334664,2079.1129184250663,1768.39359058907,1135.0955093193436,3320.406899593735,1502.5688223235932
1733383202.4108732,1261.9177986412762,1548.4944584304612,1755.8524960446794,2911.9145109343317,1516.0065787019616,206.70844682123865,242.07555471983497,333.02750138890326,686.2049149332427,324.8875630803151,1778.8765983246003,1714.3901457494349,1581.689060605325,3892.550237986982,2761.07658141662,2158.9437458897128,1644.8415580689111,1555.0100573102281,3369.335817991278,1196.0818992902928
1733383202.940207,1066.1082233846093,1511.702043792237,1348.7629403370624,3935.7858328176444,1012.1904556765996,164.5870581966094,519.2507586994925,506.536450273216,674.5491439233479,269.4388893272546,528.4199149663185,1672.8691744719822,2125.8822688971522,4583.418968523621,2142.6373003495446,734.4690164376619,1789.0404034504759,1395.786298177113,2630.239295083939,1392.0560103711666
1733383203.471555,12699.401559953694,10355.223508318888,5171.428410637859,7737.342755570075,5384.575834564663,2179.4032343627414,1420.6150183319185,655.5718924392149,1446.5475698675375,829.306139048784,16404.657681031415,6310.891958638232,4075.7462682003793,8426.991033122285,4541.922389905216,11687.219980313224,7202.603134018278,4784.874583905809,5578.577747357071,2570.530122099828
