timestamp,qnum,TP9,AF7,AF8,TP10
1733383207.6481895,3,965.33203125,2.44140625,-395.01953125,-213.37890625
1733383207.6640174,3,965.33203125,-3.41796875,-217.28515625,-323.73046875
1733383207.6796205,3,965.33203125,8.7890625,-133.30078125,-356.4453125
1733383207.6954038,3,965.33203125,17.08984375,-295.8984375,-325.1953125
1733383207.711008,3,960.44921875,-13.671875,-404.296875,-351.5625
1733383207.726953,3,975.5859375,-30.2734375,-285.15625,-419.43359375
1733383207.7430615,3,914.55078125,-13.18359375,-272.4609375,-441.40625
1733383207.758933,3,814.94140625,-13.671875,-382.8125,-406.25
1733383207.774371,3,784.66796875,-4.8828125,-440.91796875,-402.83203125
1733383207.789674,3,556.15234375,4.8828125,-386.23046875,-488.76953125
1733383207.805142,3,354.4921875,-15.13671875,-296.875,-577.63671875
1733383207.8206482,3,328.61328125,-25.87890625,-538.0859375,-479.00390625
1733383207.8361309,3,184.08203125,-30.2734375,-604.00390625,-458.0078125
1733383207.851317,3,-14.16015625,-21.97265625,-413.57421875,-613.76953125
1733383207.8662148,3,-101.07421875,-35.64453125,-454.58984375,-595.703125
1733383207.8822265,3,-222.65625,-58.10546875,-438.96484375,-581.54296875
1733383207.8977387,3,-356.4453125,-65.4296875,-387.20703125,-587.40234375
1733383207.91299,3,-386.23046875,-56.15234375,-373.53515625,-597.65625
1733383207.9278572,3,-424.31640625,-37.109375,-416.50390625,-599.609375
1733383207.9432878,3,-508.7890625,-29.296875,-457.03125,-582.03125
1733383207.9586265,3,-534.1796875,-31.25,-490.72265625,-590.8203125
1733383207.974118,3,-587.40234375,-43.9453125,-518.06640625,-590.8203125
1733383207.9900622,3,-627.44140625,-36.62109375,-562.5,-595.703125
1733383208.0052557,3,-615.234375,-36.62109375,-613.28125,-597.65625
1733383208.0206003,3,-751.46484375,-49.31640625,-516.6015625,-668.45703125
1733383208.0364058,3,-801.7578125,-37.109375,-426.7578125,-690.4296875
1733383208.0516486,3,-768.06640625,-31.73828125,-528.3203125,-631.8359375
1733383208.0674262,3,0.0,-41.9921875,-614.74609375,-619.62890625
1733383208.082398,3,0.0,-76.66015625,-467.28515625,-647.4609375
1733383208.0982351,3,0.0,-64.453125,-407.71484375,-625.9765625
1733383208.1140451,3,0.0,-10.25390625,-459.9609375,-649.90234375
1733383208.1301565,3,0.0,-4.39453125,-490.234375,-672.8515625
1733383208.1455088,3,0.0,-11.71875,-504.39453125,-673.33984375
1733383208.1602204,3,0.0,-22.4609375,-421.875,-682.6171875
1733383208.175385,3,0.0,-36.1328125,-560.05859375,-591.796875
1733383208.1900828,3,0.0,-52.734375,-574.70703125,-618.65234375
1733383208.2052317,3,0.0,-34.1796875,-308.10546875,-742.1875
1733383208.2201233,3,0.0,-44.43359375,-342.28515625,-629.8828125
1733383208.2350645,3,0.0,-85.44921875,-409.1796875,-569.82421875
1733383208.2506528,3,-645.01953125,-23.92578125,-380.859375,-620.60546875
1733383208.265875,3,-720.21484375,11.71875,-362.79296875,-604.98046875
1733383208.280593,3,-621.09375,-1.953125,-411.62109375,-542.48046875
1733383208.2962072,3,-561.03515625,-1.46484375,-404.296875,-536.1328125
1733383208.312061,3,-614.2578125,-8.7890625,-395.5078125,-588.8671875
1733383208.328014,3,-785.15625,-22.4609375,-438.4765625,-574.70703125
1733383208.3439586,3,-884.765625,-9.765625,-466.30859375,-520.5078125
1733383208.3591182,3,-684.5703125,-23.4375,-491.2109375,-431.15234375
1733383208.374775,3,-700.1953125,-46.38671875,-391.11328125,-435.05859375
1733383208.390407,3,-752.44140625,-9.765625,-307.12890625,-461.42578125
1733383208.405858,3,-625.9765625,-21.484375,-420.8984375,-396.97265625
1733383208.421664,3,-521.484375,-30.76171875,-457.51953125,-353.515625
1733383208.437422,3,-541.015625,3.90625,-343.75,-301.7578125
1733383208.4537532,3,-557.6171875,9.765625,-342.28515625,-259.27734375
1733383208.4689827,3,-443.359375,-12.20703125,-412.109375,-243.65234375
1733383208.4851203,3,-379.39453125,-14.16015625,-418.45703125,-208.49609375
1733383208.5007858,3,-395.01953125,25.390625,-339.35546875,-137.20703125
1733383208.5164285,3,-375.48828125,25.87890625,-364.74609375,-61.03515625
1733383208.532601,3,-297.8515625,19.53125,-524.90234375,36.62109375
1733383208.5484977,3,-236.81640625,13.18359375,-544.921875,125.48828125
1733383208.5641155,3,-344.7265625,12.20703125,-286.62109375,91.796875
1733383208.5797522,3,-323.73046875,39.55078125,-326.66015625,164.55078125
1733383208.5961132,3,-251.46484375,26.3671875,-389.6484375,302.24609375
1733383208.611704,3,-305.17578125,-8.30078125,-366.2109375,366.69921875
1733383208.6276493,3,-349.609375,-12.6953125,-329.1015625,438.96484375
1733383208.6432524,3,-375.48828125,5.37109375,-386.71875,530.2734375
1733383208.6588302,3,-412.109375,15.625,-426.7578125,641.11328125
1733383208.674244,3,-431.640625,3.41796875,-389.6484375,669.43359375
1733383208.6893084,3,-413.0859375,-2.9296875,-443.359375,638.671875
1733383208.704609,3,-412.59765625,-7.8125,-534.66796875,702.1484375
1733383208.719983,3,-343.26171875,-34.66796875,-633.30078125,777.83203125
1733383208.7350051,3,-426.7578125,-36.1328125,-558.59375,756.8359375
1733383208.7505925,3,-596.19140625,-16.11328125,-480.46875,764.16015625
1733383208.7658432,3,-537.109375,-13.671875,-576.171875,889.16015625
1733383208.7812643,3,-536.62109375,0.9765625,-609.375,864.2578125
1733383208.7964785,3,-610.83984375,2.9296875,-535.64453125,872.55859375
1733383208.8121507,3,-594.23828125,4.8828125,-536.62109375,957.03125
1733383208.8276126,3,-564.94140625,11.23046875,-603.02734375,962.40234375
1733383208.8427415,3,-569.82421875,-30.2734375,-641.6015625,964.35546875
1733383208.8581266,3,-597.16796875,-40.52734375,-575.1953125,965.33203125
1733383208.8733675,3,-614.2578125,-7.32421875,-597.16796875,965.33203125
1733383208.8892384,3,-529.78515625,-21.97265625,-776.3671875,965.8203125
1733383208.9045618,3,-501.953125,-51.7578125,-798.828125,965.8203125
1733383208.920189,3,-549.31640625,-31.25,-624.51171875,965.8203125
1733383208.9361007,3,-469.23828125,9.27734375,-660.15625,965.8203125
1733383208.9518623,3,-442.87109375,-7.8125,-750.0,965.8203125
1733383208.9678054,3,-514.6484375,-32.71484375,-680.17578125,965.8203125
1733383208.982944,3,-514.6484375,-24.90234375,-666.9921875,965.8203125
1733383208.9979262,3,0.0,-24.4140625,-717.28515625,965.33203125
1733383209.0134108,3,0.0,-29.78515625,-671.875,965.8203125
