qnum,ans_num,response_time,eeg_num,con_score
1,4,4.116028785705566,5,2.216595819786334
2,2,3.2677245140075684,0,2.112983927996638
3,5,2.895143508911133,0,1.8890997803389484
4,1,3.092921257019043,2,1.7961668198024543
5,2,3.3981592655181885,0,2.204071497196914
6,5,4.413128614425659,0,2.367023528210161
7,4,3.91796875,0,1.917733218034519
8,5,3.088595390319824,5,2.1162268219302045
