start_time,end_time,most_common_state,count
1733383201.3838654,1733383202.3838654,5.0,1
1733383203.8628745,1733383204.8628745,,0
1733383207.1481895,1733383208.1481895,,0
1733383212.3803225,1733383213.3803225,2.0,1
1733383215.48693,1733383216.48693,,0
1733383219.6630938,1733383220.6630938,,0
1733383221.766383,1733383222.766383,,0
1733383225.7015371,1733383226.7015371,5.0,1
