qnum,response,res_time
1,4,4.116028785705566
2,2,3.2677245140075684
3,5,2.895143508911133
4,1,3.092921257019043
5,2,3.3981592655181885
6,5,4.413128614425659
7,4,3.91796875
8,5,3.088595390319824
