timestamp,qnum,horizontal_ratio,vertical_ratio,blinking_ratio
1733383201.2711515,1,0.5880813953488373,0.6291208791208791,3.1767646914635717
1733383201.8128662,1,,,
1733383202.3116722,1,0.4801829268292683,0.6923076923076923,3.1022345040604318
1733383202.8126314,1,0.44047619047619047,0.75,3.647720724413815
1733383203.3218167,1,0.4590592334494774,0.7916666666666667,3.4587629277591136
1733383203.8555279,1,0.5731707317073171,0.5224358974358975,3.2857817619282232
1733383204.3603308,1,,,
1733383204.8755288,2,,,
1733383205.4789777,2,,,
1733383206.0773733,2,,,
1733383206.6613646,2,,,
1733383207.242778,2,,,
1733383207.8020914,3,,,
1733383208.3982959,3,0.5075493612078978,0.45416666666666666,2.678757493943366
1733383209.0062966,3,0.40669313669880885,0.65,2.888934754862595
1733383209.5920036,3,0.42247386759581884,0.65,2.951328064332556
1733383210.187167,3,0.41666666666666663,0.6263736263736264,3.113725873482763
1733383210.7428074,4,,,
1733383211.3330536,4,0.5853658536585367,0.554945054945055,3.1552796974879938
1733383211.9199533,4,0.5476190476190477,0.6428571428571428,2.9983085573421038
1733383212.4916131,4,0.758130081300813,0.5494505494505495,3.060754636687693
1733383213.084704,4,,,
1733383213.643725,4,0.6341463414634146,0.9242424242424243,3.7207253639733437
1733383214.2243395,5,0.5365853658536586,0.6923076923076923,3.1547841006784427
1733383214.8138003,5,0.4207317073170732,0.6442307692307692,3.377552064626362
1733383215.3897069,5,,,
1733383215.9533257,5,,,
1733383216.5256307,5,,,
1733383217.0987885,6,,,
1733383217.676519,6,,,
1733383218.2598934,6,0.3902439024390244,0.7083333333333334,3.413298020872009
1733383218.8166173,6,0.4024390243902439,0.7307692307692308,3.1515398122950637
1733383219.3965847,6,0.38170731707317074,0.75,3.35437691096409
1733383219.9713988,6,,,
1733383220.546371,6,,,
1733383221.1342952,6,,,
1733383221.6970217,7,,,
1733383222.2743568,7,,,
1733383222.8524203,7,,,
1733383223.445394,7,,,
1733383224.0186229,7,,,
1733383224.585402,7,,,
1733383225.137869,7,,,
1733383225.7014666,8,,,
1733383226.281341,8,0.4326364692218351,0.5,3.1852307006322214
1733383226.8684964,8,0.40476190476190477,0.7307692307692308,3.365225951643499
1733383227.4596722,8,0.3969221835075494,0.7083333333333334,3.431542619557521
1733383228.0279212,8,,,
1733383228.6188214,8,,,
